JKEE003,21,1
JUNY034,21,1
YLM061,21,1
MNGIA03,21,1
ZCHRI023,21,1
BERNA001,21,1
TEHYP02,21,1
KHOOA002,21,1
KOHG06,21,1
CHEWE05,21,1
CJEAN014,21,1
WEECA007,21,1
LEECA17,21,1
LIMMA01,21,1
LENGR09,21,1
YEOEI001,21,1
KHIMJ008,21,1
DORAP002,21,1
BCQUE004,21,1
LIEWH002,21,1
NAYEL005,21,1
TANHU11,21,1
HAFIZ021,21,1
SANDY034,21,1
CHYEN012,21,1
SICAT009,21,1
LIMRI023,21,1
THOMP031,21,1
CHENGA034,21,1
WEECH03,21,1
YAPLI24,21,1
KHIMC14,21,1
CHEEG06,21,1
KHORS14,21,1
LOKRU012,21,1
ANGLA10,21,1
TAYCH012,21,1
NASAR01,21,1
TONGG04,21,1
PREET01,21,1
YASMI04,21,1
YBOOE01,21,1
PAIGE25,21,1
BAKAR023,21,1
KUMAR107,21,1
ESTOH04,21,1
JEYAR002,21,1
SHUME02,21,1
CHANJE11,21,1
CAYDEN01,21,1
GNGIA10,21,1
WEEJO04,21,1
YEOHM08,21,1
EERIC015,21,1
LIEWA01,21,1
OHJOS01,21,1
HOGRE11,21,1
DANKE05,21,1
IMRAN12,21,1
LEONGH27,21,1
PILLA007,21,1
WOOST04,21,1
TAYTY06,21,1
AMBRO03,21,1
STRONG012,21,1
WTKBO052,21,1
SHELL016,21,1
WANGJ015,21,1
LUMCO08,21,1
KEESO07,21,1
FHANS002,21,1
ONGOT021,21,1
GOHBK015,21,1
PECKG01,21,1
WALLA06,21,1
TANWJ012,21,1
WEIPH05,21,1
XINLE006,21,1
TEOHX015,21,1
TEOHX015,14,1
TESTSTUDENT,2,1
TESTSTUDENT,1,0
KOH1,46,1
YCN019,44,1
YCN019,49,1
YCN019,46,1
YCN019,57,1
YCHERN01,53,1
YCHERN01,52,1
YCHERN01,51,1
YCHERN01,50,1
LEECA17,58,1
CHEWE05,60,1
WEECA007,59,1
HOGRE11,56,1
IMRAN12,54,1
LEONGH27,44,1
PILLA007,44,1
WOOST04,44,1
TAYTY06,44,1
AMBRO03,44,1
STRONG012,44,1
WTKBO052,44,1
SHELL016,44,1
WANGJ015,44,1
LUMCO08,44,1
KEESO07,44,1
FHANS002,44,1
ONGOT021,44,1
GOHBK015,44,1
PECKG01,44,1
WALLA06,44,1
TANWJ012,44,1
WEIPH05,44,1
XINLE006,44,1
TEOHX015,44,1
CHEWE05,44,1
CJEAN014,44,1
WEECA007,44,1
LEECA17,44,1
LIMMA01,44,1
LENGR09,44,1
YEOEI001,44,1
KHIMJ008,44,1
BCQUE004,44,1
LIEWH002,44,1
NAYEL005,44,1
TANHU11,44,1
HAFIZ021,44,1
SANDY034,44,1
CHYEN012,44,1
SICAT009,44,1
LIMRI023,44,1
THOMP031,44,1
CHENGA034,44,1
WEECH03,44,1
YAPLI24,44,1
KHIMC14,44,1
CHEEG06,44,1
KHORS14,44,1
LOKRU012,44,1
ANGLA10,44,1
TAYCH012,44,1
NASAR01,44,1
TONGG04,44,1
PREET01,44,1
YASMI04,44,1
YBOOE01,44,1
PAIGE25,44,1
BAKAR023,44,1
KUMAR107,44,0
ESTOH04,44,0
JEYAR002,44,0
SHUME02,44,0
CHANJE11,44,1
CAYDEN01,44,1
GNGIA10,44,1
WEEJO04,44,1
YEOHM08,44,1
EERIC015,44,1
LIEWA01,44,1
OHJOS01,44,1
HOGRE11,44,1
DANKE05,44,1
IMRAN12,44,1
LEONGH27,44,1
DORAP002,46,1
GOHBK015,43,1
AKY013,43,1
KOHG06,43,1
CHYEN012,43,1
THOMP031,52,1
CHENGA034,52,1
WEECH03,52,1
YAPLI24,52,1
KHIMC14,52,1
CHEEG06,52,1
KHORS14,52,1
LOKRU012,52,1
ANGLA10,52,1
TAYCH012,52,1
NASAR01,52,1
TONGG04,52,1
PREET01,52,1
YASMI04,52,1
YBOOE01,52,1
PAIGE25,52,1
BAKAR023,52,1
KUMAR107,52,1
ESTOH04,52,1
JEYAR002,52,1
LIMMA01,51,1
LENGR09,51,1
YEOEI001,51,1
KHIMJ008,51,1
DORAP002,51,1
BCQUE004,51,1
LIEWH002,51,1
NAYEL005,51,1
TANHU11,51,1
HAFIZ021,51,1
SANDY034,51,1
CHYEN012,51,1
SICAT009,51,1
LIMRI023,51,1
THOMP031,51,1
CHENGA034,51,1
WEECH03,51,1
YAPLI24,51,1
KHIMC14,51,1
CHEEG06,51,1
KHORS14,51,1
LOKRU012,51,1
ANGLA10,51,1
NASAR01,51,1
TONGG04,51,1
PREET01,51,1
YASMI04,51,1
YBOOE01,51,1
BAKAR023,51,1
KUMAR107,51,1
JEYAR002,51,1
SHUME02,51,1
CHANJE11,51,1
CAYDEN01,51,1
GNGIA10,51,1
WEEJO04,51,1
YEOHM08,51,1
EERIC015,51,1
LIEWA01,51,1
OHJOS01,51,1
HOGRE11,51,1
DANKE05,51,1
IMRAN12,51,1
LEONGH27,51,1
PILLA007,51,1
WOOST04,51,1
TAYTY06,51,1
AMBRO03,51,1
STRONG012,51,1
WTKBO052,51,1
SHELL016,51,1
WANGJ015,51,1
LUMCO08,51,1
KEESO07,51,1
FHANS002,51,1
ONGOT021,51,1
GOHBK015,51,1
PECKG01,51,1
WALLA06,51,1
TANWJ012,51,1
WEIPH05,51,1
XINLE006,51,1
TEOHX015,51,1
JKEE003,51,1
THOMAS123,44,1
