8,72Hours of Hackathon Endurance Challenge,SCSE,20231123,20231125,20231030,LT21A,Physical event where you are not allowed return if you leave the venue. Open to SCSE students only.,40,3,TESTSTAFF,1
11,Accountancy Life All-Nighters Trial Session,NBS,20231107,20231110,20231030,Gaia,NBS students wondering if accountacy life is really as they hear it is. 3D3N event simulates reality.,15,2,TESTSTAFF,1
2,Celebration of Friendship Camp,ALL,20231107,20231109,20231030,North Spine,Open to all - celebrate friendships with this 3D2N camp.,400,10,TESTSTAFF,1
18,Christmas Winter Wonderland @ NTU,ALL,20231224,20231226,20231030,NIE,No family or friends to celebrate Xmas this year? Celebrate it with your NTU family. Open to all.,400,10,TESTSTAFF,1
9,Designers' Challenge Event,ADM,20231031,20231031,20231030,ADM,Renowned designers from all over the world descend upon NTU. Limited slots for ADM students only.,10,2,TESTSTAFF,1
38,Dimir House Party - Secret Camp,ALL,20231212,20231213,20231030,North Spine,Open to none - this camp is only visible to the privileged.,1,1,TESTSTAFF,0
10,FHAC - Forty-eight Hour Animation Challenge,WKWSCI,20231101,20231103,20231030,Anywhere,Oh FHAC! Our annual time-limited film camp. WKW students only.,20,3,TESTSTAFF,1
39,Fight Club Retreat,ALL,20240101,20240102,20231030,North Spine,The first rule of Fight Club is…,20,3,TESTSTAFF,0
4,Gaia Open House Sleepover,ALL,20231222,20231223,20231030,Gaia,Open to all - experience NTU's newest building in a unique way.,200,5,TESTSTAFF,1
17,Groundbreaking Camp,CEE,20231201,20231202,20231030,North Hill,We promise CEE students that this camp will be better than MAE's camp happening on the same dates.,26,3,TESTSTAFF,1
13,Group Grass Touching Survey Study,ASE,20231204,20231205,20231030,Yunnam Gardens,Overnight group camp on NTU soil. Open to ASE students only.,15,2,TESTSTAFF,1
15,Guinness WR Attempt Most Med Students In A Single Camp,LKC,20231130,20231202,20231030,LKC Building,Put NTU into the history books by contributing yourself to this camp! Strictly LKC students only.,150,5,TESTSTAFF,1
14,Have You Eaten? Mass Buffet,ALL,20231201,20231201,20231030,North Spine,Open to all - NTUSU invites you to an open buffet. Plain water provided.,400,10,TESTSTAFF,1
