8,72Hours of Hackathon Endurance Challenge,SCSE,20231123,20231125,20231030,LT21A,Physical event where you are not allowed return if you leave the venue. Open to SCSE students only.,40,3,TESTSTAFF,1
11,Accountancy Life All-Nighters Trial Session,NBS,20231107,20231110,20231030,Gaia,NBS students wondering if accountacy life is really as they hear it is. 3D3N event simulates reality.,15,2,TESTSTAFF,1
48,Boot camp,ADM,20231205,20231206,20231201,Home,Boot camp to have fun at home through online games,50,5,OURIN,1
41,Campus Carnival,ALL,20230114,20230115,20230105,The Hive (SS),Games and food stalls and performances allowing students to unwind and socialize,1000,10,TESTSTAFF,1
2,Celebration of Friendship Camp,ALL,20231107,20231109,20231030,North Spine,Open to all - celebrate friendships with this 3D2N camp.,400,10,TESTSTAFF,1
18,Christmas Winter Wonderland @ NTU,ALL,20231224,20231226,20231030,NIE,No family or friends to celebrate Xmas this year? Celebrate it with your NTU family. Open to all.,400,10,TESTSTAFF,1
45,Community Music Jam,ADM,20231220,20231220,20231210,LT3,Music event for all to join and have fun,100,8,OURIN,1
49,Culinary Arts Camp,ALL,20231221,20231222,20231218,Cooking Hall ,learn cooking techniques and explore diverse cuisines,45,5,OURIN,1
50,Culinary Arts Camp,ALL,20231124,20231124,20231113,Cooking Hall ,learn cooking techniques and explore diverse cuisines,45,5,OURIN,1
55,Debate and Discussion Series,SPMS,20231121,20231121,20231114,SPMS Building,An open forum for discussing current affairs and hot topics,50,8,SHINSUKE,1
9,Designers' Challenge Event,ADM,20231031,20231031,20231030,ADM,Renowned designers from all over the world descend upon NTU. Limited slots for ADM students only.,10,2,TESTSTAFF,1
38,Dimir House Party - Secret Camp,ALL,20231212,20231213,20231030,North Spine,Open to none - this camp is only visible to the privileged.,1,1,TESTSTAFF,0
46,Education Leadership Camp,ALL,20231215,20231218,20231205,Whole School,This camp focuses on innovative teaching methods and leadership skills in the Education Hall,80,10,OURIN,1
40,Engineering Innovation Expo,SCSE,20231129,20231130,20231125,North Spine,demonstrating technological advancements and their real-world applications,200,10,TESTSTAFF,0
